disaster_type,severity,population_affected,rainfall_mm,temperature_c,disaster_duration_days,district,state,latitude,longitude,food_required,medical_required,water_required,clothing_required
Earthquake,3,89993,205.08,22.8,25,Dumka,Jharkhand,23.2441,84.9208,153722,13084,134526,59250
Landslide,9,92707,710.42,31.0,1,Ariyalur,Tamil Nadu,12.9678,80.4091,8924,29137,135562,44401
Earthquake,6,63058,91.35,17.6,18,Charaideo,Assam,26.1413,92.2185,85440,10004,115089,46852
Cyclone,5,6927,970.54,32.2,26,Leh,Jammu and Kashmir,34.0554,74.3518,18022,1299,13353,5622
Cyclone,8,30944,978.75,11.0,21,Dindigul,Tamil Nadu,12.7653,80.2264,75334,5128,95620,22434
Cyclone,8,91300,130.22,21.9,21,Jammu,Jammu and Kashmir,34.5343,74.4397,175707,19179,221977,82405
Flood,3,892,103.94,36.2,22,Kurnool,Andhra Pradesh,16.0369,80.7313,1534,113,1655,470
Flood,2,39795,412.72,38.3,30,Barwani,Madhya Pradesh,23.1736,77.3885,82300,4488,79890,20597
Fire,2,83287,963.68,18.9,24,Khordha,Odisha,20.0092,86.3363,97063,11048,88309,26299
Cyclone,5,42610,400.31,28.9,28,Buxar,Bihar,25.4618,84.8238,112645,8548,82450,32176
Cyclone,10,39237,363.8,28.5,17,Guntur,Andhra Pradesh,16.5514,81.0201,77727,10280,114926,32487
Earthquake,7,84710,703.59,24.8,10,Bulandshahr,Uttar Pradesh,26.8163,80.6867,78818,16487,128103,55814
Earthquake,8,73510,178.73,18.0,28,Janjgir-Champa,Chhattisgarh,21.5422,81.9738,199302,14850,172671,94264
Flood,10,82312,363.32,34.6,9,Dhalai,Tripura,23.5743,91.2906,107922,20573,219055,53081
Landslide,8,39732,291.31,18.8,20,Sangrur,Punjab,31.133,75.2837,65203,6312,88539,32465
Flood,8,36890,601.53,41.9,8,Virudhunagar,Tamil Nadu,12.3927,80.3813,33980,10422,80993,20067
Fire,10,83668,162.75,28.5,28,Kohima,Nagaland,25.3943,94.0619,221563,33486,181274,50709
Fire,3,30985,548.7,40.5,15,Kurukshetra,Haryana,29.3768,75.9499,26608,7831,32568,9056
Fire,2,65314,857.55,20.2,13,Murshidabad,West Bengal,22.5115,88.83,39257,10528,56052,19408
Earthquake,4,76644,514.17,38.2,28,Parbhani,Maharashtra,19.6352,73.0102,153842,14575,142750,63740
Flood,1,44970,683.5,14.0,21,Lower Siang,Arunachal Pradesh,26.8641,93.464,59767,3503,50153,18070
Cyclone,3,48210,75.25,36.8,17,Lunglei,Mizoram,23.3811,92.1571,58795,5491,64447,19427
Earthquake,9,5271,449.01,23.5,30,Panchmahal (Godhra),Gujarat,22.7326,72.5397,16798,1291,14978,5559
Cyclone,7,9689,94.89,26.4,9,Kozhikode,Kerala,7.9408,76.5698,9728,1788,16082,5759
Landslide,7,18177,599.46,15.8,24,Budaun,Uttar Pradesh,26.7492,81.1669,37617,2960,39896,13898
Cyclone,1,64974,281.05,10.7,21,Burhanpur,Madhya Pradesh,23.5298,76.9677,86783,3988,68687,28812
Cyclone,7,72346,287.27,33.3,30,Kakching,Manipur,24.9945,93.6679,211528,19056,178842,51374
Cyclone,10,85872,76.77,30.6,11,Janjgir-Champa,Chhattisgarh,21.5388,81.8369,99593,23026,199955,78125
Cyclone,7,38327,310.24,31.8,30,Kathua,Jammu and Kashmir,33.8996,74.8366,140083,8055,114966,34675
Earthquake,4,15037,506.68,18.9,4,Rajsamand,Rajasthan,26.8815,76.3905,4418,1883,13321,7301
Fire,7,9854,584.66,18.4,24,Bilaspur,Chhattisgarh,21.6149,81.3275,19020,3391,17019,4699
Fire,8,25788,66.67,39.1,25,North Delhi,Delhi (NCT),28.7593,77.3198,45437,10968,43509,11607
Landslide,3,7148,651.46,36.6,7,Pudukkottai,Tamil Nadu,13.2578,80.8567,3155,815,6119,3242
Landslide,10,22668,488.88,21.8,20,Anantapur,Andhra Pradesh,16.6234,80.6023,50677,6366,45942,17955
Landslide,2,97683,536.91,32.3,23,Muzaffarpur,Bihar,25.7445,84.658,111819,10795,106414,47772
Flood,7,75119,832.8,39.0,22,Fatehpur,Uttar Pradesh,26.9324,81.0659,188663,17960,209467,47854
Fire,5,17645,342.23,41.1,27,Ashoknagar,Madhya Pradesh,23.411,77.5958,30890,5062,29242,7148
Flood,5,83049,174.05,10.2,28,Kanchipuram,Tamil Nadu,12.9964,80.1515,193227,8252,225890,48815
Flood,5,94549,551.81,38.5,3,New Delhi,Delhi (NCT),28.3657,77.1603,30776,16147,140757,38737
Earthquake,7,45317,945.02,22.3,10,Bharatpur,Rajasthan,26.5683,75.8486,35161,9276,66978,33916
Cyclone,9,48222,517.87,35.1,3,Sahibganj,Jharkhand,23.1396,85.1853,14226,13473,89605,24285
Flood,8,33846,831.91,23.0,1,Kushinagar (Padrauna),Uttar Pradesh,26.5184,80.7073,4229,6556,68765,14650
Flood,6,8809,757.03,31.2,14,Saharanpur,Uttar Pradesh,27.0565,81.5195,12063,1641,20495,4867
Flood,7,25458,518.33,32.6,13,Visakhapatnam,Andhra Pradesh,16.7976,80.4806,39118,5289,60088,13703
Landslide,9,11123,647.55,24.2,5,Simdega,Jharkhand,23.5569,84.8957,5412,2900,16310,6824
Flood,6,95487,406.68,27.9,8,Etah,Uttar Pradesh,26.6547,81.0156,81046,18885,186919,52547
Flood,1,28856,530.63,35.4,12,Navsari,Gujarat,23.2564,72.4882,19421,2783,29768,10849
Cyclone,4,63275,507.29,26.7,6,YSR Kadapa,Andhra Pradesh,16.2658,79.982,29661,8289,68935,29272
Cyclone,8,54381,709.11,10.5,24,Mahisagar,Gujarat,22.7972,72.6362,142371,10439,140183,43531
Landslide,7,49389,409.98,10.5,23,Basti,Uttar Pradesh,26.8033,80.7123,115149,8599,91504,31484
Flood,3,58197,99.77,33.1,2,Rajanna Sircilla,Telangana,17.5382,79.2313,8542,8152,63593,17709
Earthquake,10,76781,788.71,39.7,24,Balaghat,Madhya Pradesh,23.0863,77.3215,178635,21746,234046,90769
Fire,3,86828,684.85,37.5,4,Anuppur,Madhya Pradesh,22.8287,77.3108,21077,21398,64879,18237
Tsunami,3,47359,950.12,20.9,27,West Tripura,Tripura,23.0504,90.8851,111474,6603,98955,37552
Earthquake,1,18939,428.72,26.5,5,Damoh,Madhya Pradesh,23.3747,76.925,5104,1878,15197,7369
Landslide,10,27510,78.21,18.2,11,Kanchipuram,Tamil Nadu,13.1276,79.9352,29655,5844,56511,16860
Flood,1,11547,121.62,44.6,13,Ukhrul,Manipur,24.0065,94.1071,8158,982,15249,4330
Cyclone,6,86669,773.32,19.1,8,Dhalai,Tripura,23.8237,91.5852,75246,12894,130766,43937
Cyclone,1,75765,67.76,24.6,21,Rohtas,Bihar,25.8191,85.2227,81504,7406,83373,41312
Landslide,5,95994,907.83,33.8,5,Jogulamba Gadwal,Telangana,17.8832,78.3795,32302,21273,89635,39541
Flood,4,14007,281.65,40.7,6,Alirajpur,Madhya Pradesh,23.2153,77.3562,7459,2444,20121,4425
Flood,5,21737,898.88,11.8,15,Shopian,Jammu and Kashmir,34.6228,74.764,32740,2438,48401,10750
Cyclone,7,38296,773.51,20.5,23,Guna,Madhya Pradesh,23.0724,77.3417,101363,7370,94174,25927
Flood,6,22469,871.2,29.9,25,Dhule,Maharashtra,19.0612,73.4074,61687,4241,61107,16273
Flood,9,95117,214.04,31.6,16,Gajapati,Odisha,20.2653,85.8209,188811,22535,271065,70866
Tsunami,6,97317,595.69,12.5,30,Central Delhi,Delhi (NCT),28.6894,77.3113,353039,16543,317689,83594
Cyclone,9,2689,93.59,33.2,11,Mancherial,Telangana,17.2636,78.5545,2923,626,5590,2199
Earthquake,4,23660,202.28,28.5,7,Dharmapuri,Tamil Nadu,12.9454,80.1381,11722,3065,27852,11744
Fire,1,3134,309.9,39.0,6,Bikaner,Rajasthan,26.4582,75.4322,741,459,1780,630
Cyclone,1,269,740.81,17.8,12,Kannur,Kerala,8.7103,76.8699,195,19,280,100
Flood,10,92549,24.71,16.8,26,Ashoknagar,Madhya Pradesh,23.61,77.3348,334052,19282,340234,65791
Flood,7,3339,903.12,37.8,4,Vellore,Tamil Nadu,13.4784,80.6836,1586,758,5676,1582
Cyclone,3,3515,70.8,34.6,14,Panna,Madhya Pradesh,23.818,77.5428,3644,432,4459,2088
Earthquake,2,85588,376.49,37.7,11,Leh,Jammu and Kashmir,33.8057,74.3549,61418,10919,82829,41737
Cyclone,6,77044,81.09,37.4,26,Chikballapur,Karnataka,12.8705,77.4483,191585,19220,188137,61454
Flood,6,3584,768.97,13.6,12,Vijayapura (Bijapur),Karnataka,12.4153,77.128,4847,528,8220,1637
Earthquake,7,54087,141.31,19.8,2,Junagadh,Gujarat,22.4612,72.597,11379,9604,59913,29381
Tsunami,5,18325,884.76,19.1,11,Krishna,Andhra Pradesh,16.4075,80.4581,26042,3362,42436,9281
Landslide,8,80559,530.22,42.7,13,Hingoli,Maharashtra,19.1298,72.7238,95828,27325,111701,60249
Landslide,7,61204,948.47,27.1,11,Gaya,Bihar,25.1195,85.4221,55896,13319,100447,31659
Fire,2,21036,290.36,13.9,9,Kakching,Manipur,24.8387,93.9428,7236,2770,12989,5128
Cyclone,1,39712,454.32,20.1,26,Virudhunagar,Tamil Nadu,12.4582,80.5793,68758,3456,60998,25218
Fire,9,85046,694.25,40.5,27,Surajpur ,Chhattisgarh,20.9795,81.1209,198303,42426,195077,47330
Flood,5,95633,831.91,39.6,21,Vikarabad,Telangana,17.2818,78.9665,205285,17540,205558,55537
Fire,5,40052,421.36,41.5,16,Darrang,Assam,25.9496,91.3552,44295,12164,42244,14681
Earthquake,10,59045,892.43,23.6,5,Munger (Monghyr),Bihar,25.8612,85.674,37652,17415,86391,37892
Flood,4,87499,117.99,32.4,27,Washim,Maharashtra,18.8318,73.4576,194885,12908,214397,43517
Fire,2,5480,708.68,19.7,12,Kannur,Kerala,8.5792,76.8903,3505,1001,4444,1464
Landslide,5,50398,348.2,16.3,3,Idukki,Kerala,8.5752,77.0637,11427,6317,51268,21684
Cyclone,2,86346,101.34,10.8,29,Chamoli,Uttarakhand,30.0645,78.1683,149274,7945,102757,55945
Landslide,7,80921,386.66,17.8,16,Jodhpur,Rajasthan,26.762,75.3437,124621,17680,123437,39529
Flood,9,27360,880.22,31.2,19,Sambhal (Bhim Nagar),Uttar Pradesh,27.0246,80.6223,72858,8265,95925,16952
Earthquake,9,32979,980.53,41.6,17,Ballia,Uttar Pradesh,26.6391,81.0088,57117,9480,84463,30626
Earthquake,6,16243,392.8,14.7,28,East Khasi Hills,Meghalaya,25.1368,91.7117,38340,2503,33428,15045
Earthquake,1,49844,886.42,42.1,11,East Siang,Arunachal Pradesh,27.4263,93.3831,29250,6870,44789,25449
Tsunami,6,73049,509.65,22.1,21,Adilabad,Telangana,17.132,78.6947,163715,13559,214223,58874
Landslide,5,31678,717.02,24.9,19,Shahdara,Delhi (NCT),28.9723,76.8023,47360,5034,56130,21710
Fire,4,80362,45.37,22.8,27,Jalaun,Uttar Pradesh,26.9179,80.793,138513,16049,87127,36260
Cyclone,6,57431,557.31,24.3,18,South East Delhi,Delhi (NCT),28.8717,77.7637,90819,9597,114652,42047
Landslide,6,92651,70.16,19.1,27,Kathua,Jammu and Kashmir,34.4198,75.2937,185983,13773,146818,68977
Flood,6,63915,268.62,34.5,9,Sahibzada Ajit Singh Nagar (Mohali),Punjab,31.5877,75.4922,63711,11815,123399,32186
Landslide,2,71619,566.81,36.5,13,Chamoli,Uttarakhand,30.1877,78.2461,47720,7680,58678,32387
Cyclone,7,19278,807.16,38.8,30,Vaishali,Bihar,25.0043,85.3445,57990,4418,56411,19526
Flood,4,92626,560.89,21.9,26,Cachar,Assam,25.9016,91.8327,173476,13948,224310,53428
Fire,9,75957,936.19,36.8,6,Panchkula,Haryana,28.7519,76.3006,44758,35174,91320,28398
Flood,10,60297,810.33,32.3,3,Bulandshahr,Uttar Pradesh,27.0572,80.8644,25832,15014,145652,27149
Flood,2,36466,156.24,43.5,23,Jangaon,Telangana,17.3678,78.1007,56043,4655,62690,17074
Cyclone,5,53055,388.96,24.9,12,Palghar,Maharashtra,18.9293,72.8479,48423,8671,83244,30999
Flood,4,99930,668.49,44.7,9,Surendranagar,Gujarat,23.2661,73.0521,77640,15921,151929,44256
Flood,9,42011,938.41,35.9,9,Madurai,Tamil Nadu,13.5673,80.5456,42765,8319,105671,25845
Flood,4,83522,987.72,37.2,15,Wokha,Nagaland,26.0301,93.7628,112924,12255,152667,37761
Cyclone,8,53719,763.19,10.9,1,Pathankot,Punjab,31.7305,76.1144,7043,9487,77510,28039
Flood,8,44396,573.77,27.4,18,West Kameng,Arunachal Pradesh,27.4383,93.4069,98182,11667,127620,28062
Fire,6,22891,756.61,28.5,15,Rudraprayag,Uttarakhand,30.3441,77.4539,27753,7135,36617,10060
Flood,6,8401,273.24,11.4,8,Kanpur Dehat,Uttar Pradesh,27.1432,81.049,7533,1139,15022,3397
Tsunami,8,98629,283.6,20.9,11,Udupi,Karnataka,12.6701,78.1597,131644,23255,224888,85892
Landslide,10,35879,654.35,43.4,17,Sonepur,Odisha,19.948,85.8065,68200,11925,68831,30074
Cyclone,9,36994,871.84,24.9,27,Pulwama,Jammu and Kashmir,34.4374,74.7805,95729,8396,126569,26013
Fire,5,99017,969.81,16.5,28,East Garo Hills,Meghalaya,25.7934,92.0188,195916,22247,144850,41547
Landslide,1,79718,341.33,28.0,27,Botad,Gujarat,23.0417,72.7147,111200,7324,89343,42280
Tsunami,1,49350,796.55,11.2,14,Kanchipuram,Tamil Nadu,12.9209,79.9774,50045,3465,76047,23012
Earthquake,2,71094,851.53,28.1,19,Kohima,Nagaland,25.4438,94.1365,81438,7871,93282,35940
Flood,10,41870,623.17,30.8,27,Samastipur,Bihar,25.9919,85.4036,171805,10643,153837,32159
Earthquake,10,22400,347.59,22.5,23,Kamjong,Manipur,24.3695,93.5894,63977,5801,58882,24516
Earthquake,5,68335,619.09,36.7,24,Udupi,Karnataka,12.4526,78.356,133572,13242,141249,48576
Earthquake,4,29585,584.45,14.7,5,Lohardaga,Jharkhand,22.8608,85.4439,12337,4149,31138,16515
Cyclone,1,40385,606.53,40.7,30,Mewat,Haryana,28.9735,76.1988,73873,4439,58940,23003
Landslide,4,66655,619.26,43.4,2,Sangareddy,Telangana,16.791,78.4525,7893,13927,61408,27240
Tsunami,4,32571,847.06,10.0,15,Jaisalmer,Rajasthan,27.0791,75.8924,48699,4324,70228,17648
Flood,10,48771,170.08,39.5,19,Dausa,Rajasthan,26.9783,75.6658,115487,14199,157167,31771
Flood,4,20370,367.29,27.7,25,Baghpat,Uttar Pradesh,26.7808,81.2507,45672,2919,49424,13214
Flood,1,88251,586.0,26.1,16,Janjgir-Champa,Chhattisgarh,21.4134,81.7699,63378,7244,120111,34255
Landslide,9,13798,283.33,18.4,13,Dahod,Gujarat,23.0075,72.2918,19550,3182,23063,7908
Fire,3,72365,978.15,25.7,27,Kupwara,Jammu and Kashmir,34.3207,74.7238,121970,13638,94677,24972
Earthquake,4,39829,263.15,43.3,29,Una,Himachal Pradesh,31.6767,77.2091,94070,6544,68356,34033
Cyclone,5,11271,469.63,17.4,26,Siddharth Nagar,Uttar Pradesh,27.1446,80.5166,25750,1725,27096,7181
Earthquake,7,79583,877.37,16.3,7,West Kameng,Arunachal Pradesh,27.4648,93.6502,59712,14451,115632,37482
Cyclone,6,60784,80.06,18.5,29,Botad,Gujarat,22.8116,72.7516,164791,9258,141583,43246
Earthquake,5,55265,820.69,29.3,17,Chitrakoot,Uttar Pradesh,26.6601,81.0302,72118,9956,96812,43168
Fire,8,50048,571.01,42.6,19,Simdega,Jharkhand,23.5345,84.7537,74445,22027,79953,18685
Tsunami,1,34825,31.8,30.1,25,Botad,Gujarat,22.9427,72.3262,54693,3563,55387,22034
Tsunami,7,19550,902.91,18.5,7,Golaghat,Assam,25.6959,91.191,18841,4644,41390,12396
Tsunami,6,13400,39.2,25.4,12,Bhind,Madhya Pradesh,23.3348,77.1463,18847,2936,25651,8091
Cyclone,5,84700,515.22,23.7,13,Muzaffarnagar,Uttar Pradesh,27.2217,81.4728,92225,13254,134638,55142
Earthquake,7,4541,49.03,11.6,29,Rajnandgaon,Chhattisgarh,20.7433,81.9507,12621,655,9599,3994
Fire,3,19432,71.2,27.9,13,Kamjong,Manipur,24.8023,93.5772,13297,3783,20065,5266
Tsunami,1,20215,887.2,14.4,14,Rohtas,Bihar,26.0301,84.8775,18343,1848,27341,9395
Flood,9,99505,765.83,39.5,15,Agra,Uttar Pradesh,27.1153,80.9827,177798,21994,280420,62745
Cyclone,2,87504,196.94,29.2,2,Yadgir,Karnataka,13.4908,77.9021,10929,8364,74889,31312
Flood,10,42097,620.47,39.6,6,Mandya,Karnataka,12.8917,77.3786,37476,10493,108028,25203
Earthquake,3,86251,794.68,43.5,9,Arwal,Bihar,25.8908,85.0527,51292,15704,84485,42724
Cyclone,8,13715,889.59,43.0,15,Gorakhpur,Uttar Pradesh,26.5127,80.6263,25152,4382,32519,11503
Cyclone,10,14832,468.31,13.5,20,Vizianagaram,Andhra Pradesh,15.9643,81.071,38188,2897,41003,12038
Flood,9,25467,897.5,43.1,16,Lohardaga,Jharkhand,22.8355,85.3251,47151,6097,80227,16687
Cyclone,3,42838,507.85,37.9,26,Kanchipuram,Tamil Nadu,13.1498,80.0116,94541,6637,74220,28938
Landslide,6,1081,688.23,37.2,2,Dadra & Nagar Haveli,Dadra and Nagar Haveli (UT),20.193,72.9325,192,237,916,467
Flood,7,62981,979.03,13.2,3,Kalimpong,West Bengal,22.0076,88.308,19621,8901,120879,23952
Fire,1,58709,235.95,16.3,23,East Siang,Arunachal Pradesh,27.3826,93.3433,59049,6376,50157,17378
Earthquake,7,87190,168.52,44.1,20,Morena,Madhya Pradesh,23.3669,77.8246,178826,20406,147090,68406
Landslide,4,90955,342.02,17.5,23,Palakkad,Kerala,8.7648,76.7529,143012,11473,144509,65508
Flood,5,81766,164.4,15.9,21,Singrauli,Madhya Pradesh,23.2796,77.1223,153555,11085,201068,54776
Tsunami,8,84451,284.16,22.7,30,Sangli,Maharashtra,18.6515,72.9089,317845,14876,348279,87535
Earthquake,4,8666,742.99,42.0,8,Bandipore,Jammu and Kashmir,34.2815,74.701,5137,1890,8563,4664
Tsunami,4,91965,477.52,26.7,8,North East Delhi,Delhi (NCT),28.7353,76.8848,68286,15583,160102,52970
Landslide,8,71985,375.04,42.2,21,Chamoli,Uttarakhand,30.1655,78.2166,150432,19641,132468,61395
Flood,5,10828,368.72,21.7,7,Kullu,Himachal Pradesh,30.7194,77.213,7422,1466,15581,4934
Flood,6,84011,194.53,17.9,11,Rudraprayag,Uttarakhand,30.4669,77.4862,86652,11603,155604,48861
Cyclone,5,87450,447.41,27.3,22,Chamoli,Uttarakhand,29.8027,77.8528,165159,13746,171403,63120
Earthquake,1,36314,624.64,31.5,13,Mirzapur,Uttar Pradesh,27.2349,80.5808,24574,3483,30915,17999
Flood,7,58035,139.15,23.7,8,Ganjam,Odisha,20.0694,86.1539,51342,10849,123234,30157
Flood,6,87181,972.81,22.1,9,Sehore,Madhya Pradesh,22.85,77.643,77461,16152,161445,39984
Earthquake,2,45688,443.28,17.6,16,Bhind,Madhya Pradesh,23.0864,77.4533,38403,3903,53776,27962
Flood,7,19053,947.96,19.6,5,Surguja,Chhattisgarh,21.0007,82.1018,10292,3213,35743,8729
Flood,6,68508,134.66,33.6,23,Narayanpur,Chhattisgarh,20.7316,81.5607,138080,12861,177336,45749
Cyclone,5,75004,767.22,22.9,14,Chandigarh,Chandigarh (UT),30.6093,76.8555,83366,12521,126891,43361
Flood,8,34203,617.64,12.8,1,Warangal (Urban),Telangana,17.8061,79.2791,4561,5507,55401,15884
Cyclone,5,71049,820.06,14.8,27,Gondia,Maharashtra,18.9802,72.8413,172559,9976,153165,55234
Earthquake,2,94905,600.68,23.0,24,Kamrup Metropolitan,Assam,26.3631,92.2726,142220,10035,110673,68817
Earthquake,6,49364,962.84,42.4,19,Anjaw,Arunachal Pradesh,26.7475,93.458,86377,10109,82242,37393
Landslide,1,20256,626.93,23.3,17,Jajpur,Odisha,20.1016,85.6119,16990,1667,18164,8210
Earthquake,5,13523,784.6,12.1,22,Kannur,Kerala,8.9304,76.8913,25295,1530,27600,11510
Earthquake,6,38162,877.58,24.6,14,Kasaragod,Kerala,8.3754,76.8182,50868,7918,57342,32398
Cyclone,7,42905,714.58,33.4,13,Imphal East,Manipur,25.2593,94.3665,60543,10340,87027,27565
Landslide,2,2087,524.24,30.8,8,West Tripura,Tripura,23.3746,91.2082,1117,215,1674,856
Landslide,1,63079,272.82,19.8,27,Chandel,Manipur,24.9587,93.875,73880,4753,75556,29754
Landslide,6,37697,854.49,34.1,3,Morena,Madhya Pradesh,23.5498,77.7415,8538,6855,43392,16252
Fire,3,84005,480.58,32.1,1,Pithoragarh,Uttarakhand,30.367,78.3405,4394,16117,47531,18068
Flood,5,27968,620.71,16.0,19,East Garo Hills,Meghalaya,25.7134,91.9845,45922,3860,57510,16286
Cyclone,2,77070,79.23,15.7,15,Valsad,Gujarat,23.4923,72.5702,71032,9422,73637,38427
Flood,1,63905,497.35,29.2,21,Anantapur,Andhra Pradesh,16.4447,80.9976,77796,5454,87490,26826
Tsunami,1,80184,698.16,33.1,27,Tirunelveli,Tamil Nadu,13.6097,80.7504,150129,9389,172708,40919
Fire,4,16736,584.07,43.7,8,Aurangabad,Maharashtra,19.1519,73.2616,8210,4592,13699,4048
Fire,10,57567,448.55,24.8,9,Hamirpur,Uttar Pradesh,26.6358,81.2499,43634,22729,67983,26445
Cyclone,2,98019,223.43,36.8,13,Aizawl,Mizoram,23.9538,92.895,86273,12035,93630,43900
Landslide,1,17107,309.67,14.1,12,Androth,Lakshadweep (UT),10.5809,72.7039,9110,1490,15002,6628
Cyclone,6,95847,700.62,41.1,9,Central Delhi,Delhi (NCT),28.7801,77.3432,77866,22981,150982,55545
Flood,4,76964,224.19,32.2,20,Sirsa,Haryana,29.7836,75.7636,135541,11253,160793,50947
Cyclone,10,3489,621.73,32.0,24,Mamit,Mizoram,23.791,93.2866,10673,1055,11298,3269
Earthquake,7,9558,589.74,15.0,11,Kadmath,Lakshadweep (UT),11.0413,72.3891,10043,1848,14531,7606
Earthquake,6,68581,970.42,11.4,5,Gariyaband,Chhattisgarh,21.2097,81.7467,28951,9834,85428,36418
Landslide,5,74988,60.78,34.6,19,Jaunpur,Uttar Pradesh,26.5285,81.4557,91405,14390,97301,43557
Flood,10,76122,108.12,14.1,21,Adilabad,Telangana,17.5053,78.9348,223462,16423,209790,62406
Earthquake,2,41500,506.08,14.4,18,East Singhbhum,Jharkhand,22.9466,85.6921,44625,4129,51904,26062
Earthquake,5,67728,527.11,16.6,11,Tonk,Rajasthan,26.6028,75.8099,61496,10705,97544,44908
Cyclone,9,51957,39.93,13.4,27,Wanaparthy,Telangana,18.0836,78.2006,160811,10385,149284,50211
Landslide,9,64467,825.86,31.9,11,Buxar,Bihar,25.3282,84.8784,76076,18094,115592,42018
Fire,2,36627,494.72,24.8,6,Nagpur,Maharashtra,18.8942,73.4214,10744,6989,25285,9348
Fire,7,70748,346.64,19.3,1,Kullu,Himachal Pradesh,31.1385,77.3165,5301,17756,48631,22782
Landslide,10,17037,318.85,25.4,22,Puri,Odisha,20.3684,85.5898,40895,4383,41307,14551
Fire,4,37772,861.41,39.5,29,Thoubal,Manipur,25.0263,93.8874,80780,9372,60607,15746
Flood,3,1212,196.73,42.4,21,Narsinghpur,Madhya Pradesh,23.5637,77.2156,1762,163,2606,599
Fire,1,35645,160.42,27.1,29,Nagaur,Rajasthan,26.3243,75.6464,41573,5234,35281,11151
Cyclone,3,97376,213.18,29.8,9,Barabanki,Uttar Pradesh,26.9338,80.87,63756,10971,126359,48466
Flood,9,89117,625.02,19.0,29,Surendranagar,Gujarat,23.1695,73.2315,277139,16104,340669,74684
Flood,9,48455,810.93,28.0,30,Valsad,Gujarat,23.3338,72.8792,209100,12608,197663,42882
Fire,7,75661,330.98,36.2,7,Hathras,Uttar Pradesh,26.9469,81.4748,42948,22773,74566,25919
Fire,3,34182,173.46,27.2,6,Upper Siang,Arunachal Pradesh,27.3975,93.5523,10917,7674,22156,5745
Flood,3,60582,209.19,20.6,27,Tapi (Vyara),Gujarat,23.3119,72.1713,130610,6647,136810,32046
Fire,4,79198,619.18,30.4,28,Howrah,West Bengal,22.4429,88.6773,151990,18771,114782,32919
Landslide,7,11404,246.04,43.1,23,Patiala,Punjab,31.5355,74.976,22546,2643,22573,9144
Flood,7,56725,877.28,41.1,10,Devbhoomi Dwarka,Gujarat,23.6068,72.7254,59116,12629,110274,34744
Flood,2,72651,103.89,36.9,5,Sabarkantha (Himmatnagar),Gujarat,23.6742,72.402,26717,8567,79271,24099
Fire,5,44985,32.37,19.7,1,Raichur,Karnataka,13.2311,77.0768,3053,9950,35118,9472
Cyclone,7,71346,88.38,18.5,15,Sonitpur,Assam,25.6857,91.4154,108007,11815,142780,51948
Earthquake,7,12688,845.64,39.3,25,Hapur (Panchsheel Nagar),Uttar Pradesh,26.8158,80.6949,37522,3310,26869,11943
Flood,6,21067,651.23,16.3,5,Jaunpur,Uttar Pradesh,26.4385,81.2352,10991,3566,36248,11163
Earthquake,10,87540,957.74,31.2,20,Bhavnagar,Gujarat,23.4858,72.3926,180741,21008,258989,100641
Fire,10,24356,336.3,25.4,6,Koraput,Odisha,20.4437,85.6637,13876,11473,31968,8016
Fire,8,58448,212.68,26.4,5,Hojai,Assam,26.6667,91.8133,23915,20061,68879,18090
Landslide,3,25152,561.98,25.9,17,Khagaria,Bihar,25.5803,85.6151,30859,3456,34756,14735
Landslide,1,81072,537.83,41.5,18,Shivpuri,Madhya Pradesh,22.5339,77.7868,72756,10516,73464,36081
Fire,3,87451,591.02,13.0,4,Rampur,Uttar Pradesh,26.1788,80.5542,18965,11272,53850,21545
Fire,2,58579,347.53,37.4,24,North Goa,Goa,15.6705,73.7914,61245,9465,54951,18843
Flood,2,80832,5.9,39.2,21,Ambedkar Nagar,Uttar Pradesh,26.9669,81.2341,131422,7591,149760,44777
Earthquake,2,60300,35.03,43.0,23,Khandwa,Madhya Pradesh,22.9356,76.87,65079,7090,77484,39700
Flood,5,83725,663.83,25.8,2,Rayagada,Odisha,20.18,86.316,16859,13741,121708,34523
Landslide,1,83240,523.26,27.5,8,Sonitpur,Assam,25.9092,91.3872,27053,6968,64466,25259
Cyclone,10,2606,821.01,43.6,5,Varanasi,Uttar Pradesh,27.4819,80.8212,1652,774,4957,1474
Earthquake,4,98220,300.41,26.0,4,Sheopur,Madhya Pradesh,23.2636,77.1551,27679,13452,90531,59499
Cyclone,10,20809,815.47,27.6,25,Salem,Tamil Nadu,12.5305,80.7907,63809,5560,64357,18043
Fire,5,58635,425.49,21.6,22,Chhatarpur,Madhya Pradesh,23.2215,77.8113,82217,13611,93297,24800
Landslide,2,44940,96.7,11.1,14,North East Delhi,Delhi (NCT),28.7253,77.0599,33403,3648,41340,21760
Cyclone,5,60687,977.91,25.2,4,Solan,Himachal Pradesh,30.8826,77.4981,21559,9247,79822,29368
Landslide,10,59421,511.94,32.9,8,Lunglei,Mizoram,23.694,92.307,49498,16442,101346,42067
Cyclone,4,43302,629.48,34.1,3,Alirajpur,Madhya Pradesh,23.1046,77.0301,10015,7212,47565,15111
Earthquake,8,56688,670.8,10.2,14,Changlang,Arunachal Pradesh,26.6478,94.049,80388,11576,99794,52008
Landslide,1,3190,362.41,38.0,29,Kanpur Nagar,Uttar Pradesh,27.1299,80.4107,4752,308,3952,1302
Cyclone,5,59331,747.53,27.2,26,Raichur,Karnataka,13.1778,77.4115,134124,10118,113998,48178
